Gene,p_val_high_vs_low,avg_logFC_high_vs_low,pct_1_high_vs_low,pct_2_high_vs_low,p_val_adj_high_vs_low
TTLL11,0.0817442369151549,-0.005273571629196045,0.006,0.011,1.0
CHCHD3,0.08186973140811203,-0.02162872844524047,0.185,0.207,1.0
ARL8A,0.08188549187184498,0.0135093603956732,0.108,0.096,1.0
LONRF2,0.08190779112149633,-0.006549962141858099,0.011,0.017,1.0
ZSWIM3,0.0819374740740442,-0.004625678911250907,0.004,0.009,1.0
AC083837.1,0.08193747407412337,-0.004625678911250907,0.004,0.009,1.0
TM4SF19-AS1,0.08193747407413036,-0.004625678911250907,0.004,0.009,1.0
TCIRG1,0.08196135001433318,0.017926903619962714,0.135,0.119,1.0
TDRKH-AS1,0.08196827886890672,0.004326770474875118,0.008,0.004,1.0
C11orf68,0.0819860892290332,-0.013833446719183393,0.065,0.08,1.0
POPDC3,0.0819891986806688,0.008959644965734294,0.062,0.052,1.0
AC064807.1,0.08199357269687653,-0.007282481815309022,0.035,0.044,1.0
ATG2B,0.08207255197608479,-0.006687527051207592,0.031,0.039,1.0
AZU1,0.08209077610221514,0.002002782007427372,0.002,0.0,1.0
MIR202HG,0.08209077610221514,0.002002782007427372,0.002,0.0,1.0
AC004466.1,0.08209077610222273,0.002002782007427372,0.002,0.0,1.0
AL157937.1,0.08209077610222565,0.002002782007427372,0.002,0.0,1.0
SIGLEC9,0.08209077610223264,0.002002782007427372,0.002,0.0,1.0
MMP25,0.08209077610224198,0.002002782007427372,0.002,0.0,1.0
AL589986.2,0.0820907761022548,0.002002782007427372,0.002,0.0,1.0
LINC01510,0.0820907761023073,0.002002782007427372,0.002,0.0,1.0
AC010680.3,0.0820907761023149,0.002002782007427372,0.002,0.0,1.0
AC078845.1,0.0820907761023184,0.002002782007427372,0.002,0.0,1.0
FAM240C,0.08209077610231898,0.002002782007427372,0.002,0.0,1.0
LYPLAL1-DT,0.08209077610232073,0.002002782007427372,0.002,0.0,1.0
ACBD3-AS1,0.08209077610232131,0.002002782007427372,0.002,0.0,1.0
AL590644.1,0.08209077610233356,0.002002782007427372,0.002,0.0,1.0
ART5,0.08209077610234522,0.002002782007427372,0.002,0.0,1.0
AP005717.2,0.08209077610234639,0.002002782007427372,0.002,0.0,1.0
LRRIQ1,0.08210727726378561,-0.015352335684431964,0.043,0.051,1.0
RAB9B,0.08211545178923298,-0.0036460118799997625,0.002,0.006,1.0
PRDM16-DT,0.08211545178925164,-0.0036460118799997625,0.002,0.006,1.0
ASB3,0.08212766437882604,-0.010703553710255664,0.067,0.079,1.0
AL353743.2,0.08219893664857839,-0.002988412016090241,0.001,0.004,1.0
LINC01524,0.08219893664857839,-0.002988412016090241,0.001,0.004,1.0
