Gene,p_adj_val,chi_squared,high_stem_low_stem_log2FC,Rank,contrast
CCN4,2.641820804825128E-249,1140.882890653731,0.014973974027922915,1140.882890653731,High_Stem_Low_Stem
AP000424.1,5.036849039433125E-111,502.99304406828014,0.03607986118644618,502.99304406828014,High_Stem_Low_Stem
CCND2,2.2039355974686954E-192,878.2076884070557,-0.7973618558330389,-878.2076884070557,High_Stem_Low_Stem
IQGAP3,0.0,1730.453907202802,0.30460396206840556,1730.453907202802,High_Stem_Low_Stem
AGRP,1.8185609509128952E-84,380.6391997241735,0.010347174468332204,380.6391997241735,High_Stem_Low_Stem
AP007216.2,4.53969242759048E-108,489.3682035420861,0.009446872930010949,489.3682035420861,High_Stem_Low_Stem
GPR174,0.0,1929.504541826038,-0.2777332023533684,-1929.504541826038,High_Stem_Low_Stem
AC010491.1,2.958110308500322E-42,186.38385917195046,-0.02028040513757138,-186.38385917195046,High_Stem_Low_Stem
PER2,4.980778782954366E-31,134.84749930928956,0.09346704703202073,134.84749930928956,High_Stem_Low_Stem
AFAP1L1,9.742228717996843E-67,299.01326228627295,0.007250602457423108,299.01326228627295,High_Stem_Low_Stem
LGALS7,1.011165616025086E-257,1179.7316535922619,-0.03725084216297056,-1179.7316535922619,High_Stem_Low_Stem
GAPDHS,4.441893786980171E-27,116.73470696298682,-0.0012535998590112113,-116.73470696298682,High_Stem_Low_Stem
AC233755.1,3.489089089520043E-93,420.78517594054574,-1.826574320344704E-4,-420.78517594054574,High_Stem_Low_Stem
AC010969.1,4.796460052834062E-53,236.0025533976077,-0.03374468799835113,-236.0025533976077,High_Stem_Low_Stem
CD200R1,0.0,1905.4272116860775,-0.145359584267987,-1905.4272116860775,High_Stem_Low_Stem
HSPA12B,0.30705323278900964,1.0787339556554798,0.0017744550074989124,1.0787339556554798,High_Stem_Low_Stem
SLC6A1,8.340283959480386E-194,884.7736682816249,-0.05425982849208047,-884.7736682816249,High_Stem_Low_Stem
SMC4,2.244160442678513E-22,95.2011531614371,0.25869435373940325,95.2011531614371,High_Stem_Low_Stem
STX11,2.72995389948228E-303,1390.2042520550349,-0.32867403850801963,-1390.2042520550349,High_Stem_Low_Stem
ANTXR1,3.0281807192783616E-23,99.18258798717216,-0.41866435006871205,-99.18258798717216,High_Stem_Low_Stem
AC110995.1,1.4714718664863808E-163,745.2168934069159,0.02763194711288025,745.2168934069159,High_Stem_Low_Stem
YBX2,1.0367031457911656E-38,170.09655335247953,0.019484276487021224,170.09655335247953,High_Stem_Low_Stem
KIF4A,2.541109450479667E-232,1062.5324168729057,0.25082765768310145,1062.5324168729057,High_Stem_Low_Stem
TSPAN6,2.71750868090465E-14,58.317086945266055,0.16722316985844302,58.317086945266055,High_Stem_Low_Stem
ARG2,2.1292636007083715E-59,265.2334348266122,0.0010271388888948157,265.2334348266122,High_Stem_Low_Stem
MRVI1,0.005902890564732159,7.7039474529156,-8.944973777099824E-4,-7.7039474529156,High_Stem_Low_Stem
AC044849.1,0.0,1505.5578828157231,-0.17540332422222782,-1505.5578828157231,High_Stem_Low_Stem
GNL3,1.6629569524283363E-39,173.74642715766822,-0.143277185035416,-173.74642715766822,High_Stem_Low_Stem
PRR16,1.7214789221302422E-83,376.14022959160866,-0.036829268702599345,-376.14022959160866,High_Stem_Low_Stem
PTGER4,6.265E-321,1471.6276295224525,-0.4683319890624166,-1471.6276295224525,High_Stem_Low_Stem
SGMS2,2.6930005387434877E-65,292.3777371355136,0.5394511425287049,292.3777371355136,High_Stem_Low_Stem
FST,3.4845576416943815E-166,757.3303698786804,-0.10105600233466049,-757.3303698786804,High_Stem_Low_Stem
SP140,0.0,1623.23345887303,-0.31044908858345366,-1623.23345887303,High_Stem_Low_Stem
PCDH18,2.5580174007611968E-92,416.80044333598926,-0.013729064605323409,-416.80044333598926,High_Stem_Low_Stem
GPR4,1.628736540571969E-15,63.88096019247678,-0.03626459963150107,-63.88096019247678,High_Stem_Low_Stem
IL18RAP,0.0,2072.659884385841,-0.20603853469668404,-2072.659884385841,High_Stem_Low_Stem
CACNG8,2.227206575911749E-5,18.186083139389666,-0.048153156356685115,-18.186083139389666,High_Stem_Low_Stem
CNTFR,0.0,2015.9157886085268,0.06503359799925415,2015.9157886085268,High_Stem_Low_Stem
REG3A,5.331932314700105E-199,908.745278611641,-0.008247998220107683,-908.745278611641,High_Stem_Low_Stem
CLDN9,4.5356439224214486E-203,927.5245205760402,0.23356190996149084,927.5245205760402,High_Stem_Low_Stem
FYN,0.0,2209.903964884099,-0.8863669742846103,-2209.903964884099,High_Stem_Low_Stem
CPXM2,2.4335285910719842E-57,255.767066692144,0.004322650480337184,255.767066692144,High_Stem_Low_Stem
MPP1,1.7072699616529585E-52,233.4691483570423,-0.0012445384386894354,-233.4691483570423,High_Stem_Low_Stem
AC079753.2,0.09827320713244223,2.7991190319698944,-0.030748858071953208,-2.7991190319698944,High_Stem_Low_Stem
UGT2B11,6.614234665180825E-67,299.7875856307073,0.12779660146812463,299.7875856307073,High_Stem_Low_Stem
HJURP,1.2983459484923783E-159,727.0163282367575,0.33518737822658373,727.0163282367575,High_Stem_Low_Stem
AC004585.1,1.6264267642674843E-74,334.819368129396,-0.08453543473287675,-334.819368129396,High_Stem_Low_Stem
LINC02158,1.8439836193966922E-187,855.5052975362705,-0.009186280718329734,-855.5052975362705,High_Stem_Low_Stem
NFKB1,1.147739137639593E-96,436.8241557678193,-0.24782875858668188,-436.8241557678193,High_Stem_Low_Stem
